Station,Year,Month,Max Temp,Min Temp,Rainfall(mm),Humidity (percent),Wind Speed (m/s),Cloud Coverage (Octs),Sunshine (Hours),Station Number,Latitude,Longitude
Barisal,1949,1,29.4,12.3,0.0,68.0,0.4537037037037035,0.6,7.831914893617018,41950,22.701,90.3535
Barisal,1949,2,33.9,15.2,9.0,63.0,0.6592592592592591,0.9,8.314893617021276,41950,22.701,90.3535
Barisal,1949,3,36.7,20.2,8.0,59.0,1.0851851851851853,1.5,8.131914893617022,41950,22.701,90.3535
Barisal,1949,4,33.9,23.9,140.0,71.0,1.7722222222222228,3.9,8.219148936170217,41950,22.701,90.3535
Barisal,1949,5,35.6,25.0,217.0,76.0,1.7037037037037035,4.1,7.0468085106382965,41950,22.701,90.3535
Barisal,1949,6,34.4,25.7,512.0,80.0,1.6314814814814815,5.6,4.072340425531915,41950,22.701,90.3535
Barisal,1949,7,33.4,25.8,575.0,85.0,1.5703703703703698,5.4,3.7382978723404254,41950,22.701,90.3535
Barisal,1949,8,33.5,25.7,349.0,86.0,1.3296296296296295,5.6,4.272340425531916,41950,22.701,90.3535
Barisal,1949,9,34.8,25.7,252.0,83.0,0.9370370370370368,4.8,4.823404255319147,41950,22.701,90.3535
Barisal,1949,10,34.0,24.7,128.0,78.0,0.4907407407407408,3.1,7.0,41950,22.701,90.3535
Barisal,1949,11,31.5,17.4,41.0,68.0,0.3129629629629628,0.9,7.851063829787234,41950,22.701,90.3535
Barisal,1949,12,29.7,12.5,0.0,66.0,0.3370370370370369,0.3,7.725531914893615,41950,22.701,90.3535
Barisal,1950,1,30.0,14.1,0.0,77.0,0.4537037037037035,0.8,7.831914893617018,41950,22.701,90.3535
Barisal,1950,2,31.7,16.6,90.0,76.0,0.6592592592592591,1.7,8.314893617021276,41950,22.701,90.3535
Barisal,1950,3,36.1,20.5,13.0,70.0,1.0851851851851853,2.9,8.131914893617022,41950,22.701,90.3535
Barisal,1950,4,37.2,24.2,66.0,75.0,1.7722222222222228,3.3,8.219148936170217,41950,22.701,90.3535
Barisal,1950,5,36.1,25.5,87.0,78.0,1.7037037037037035,4.8,7.0468085106382965,41950,22.701,90.3535
Barisal,1950,6,33.9,26.0,476.0,87.0,1.6314814814814815,7.2,4.072340425531915,41950,22.701,90.3535
Barisal,1950,7,32.2,25.9,546.0,89.0,1.5703703703703698,6.8,3.7382978723404254,41950,22.701,90.3535
Barisal,1950,8,32.8,25.6,337.0,90.0,1.3296296296296295,7.4,4.272340425531916,41950,22.701,90.3535
Barisal,1950,9,33.9,26.4,187.0,84.0,0.9370370370370368,6.5,4.823404255319147,41950,22.701,90.3535
Barisal,1950,10,33.3,24.5,339.0,85.0,0.4907407407407408,5.8,7.0,41950,22.701,90.3535
Barisal,1950,11,32.9,18.6,98.0,73.0,0.3129629629629628,2.9,7.851063829787234,41950,22.701,90.3535
Barisal,1950,12,30.1,14.0,0.0,68.0,0.3370370370370369,1.5,7.725531914893615,41950,22.701,90.3535
Barisal,1951,1,28.2,12.3,0.0,77.0,0.4537037037037035,0.6,7.831914893617018,41950,22.701,90.3535
Barisal,1951,2,32.3,16.0,0.0,76.0,0.6592592592592591,0.6,8.314893617021276,41950,22.701,90.3535
Barisal,1951,3,35.6,21.5,67.0,70.0,1.0851851851851853,4.0,8.131914893617022,41950,22.701,90.3535
Barisal,1951,4,36.7,24.3,137.0,75.0,1.7722222222222228,4.6,8.219148936170217,41950,22.701,90.3535
Barisal,1951,5,35.2,25.6,114.0,78.0,1.7037037037037035,3.9,7.0468085106382965,41950,22.701,90.3535
Barisal,1951,6,33.9,26.2,394.0,87.0,1.6314814814814815,6.7,4.072340425531915,41950,22.701,90.3535
Barisal,1951,7,35.0,26.0,375.0,89.0,1.5703703703703698,7.2,3.7382978723404254,41950,22.701,90.3535
Barisal,1951,8,33.3,26.4,194.0,90.0,1.3296296296296295,7.3,4.272340425531916,41950,22.701,90.3535
Barisal,1951,9,34.4,25.5,286.0,84.0,0.9370370370370368,5.5,4.823404255319147,41950,22.701,90.3535
Barisal,1951,10,33.3,25.1,301.0,85.0,0.4907407407407408,4.8,7.0,41950,22.701,90.3535
Barisal,1951,11,31.1,20.0,31.0,73.0,0.3129629629629628,2.5,7.851063829787234,41950,22.701,90.3535
Barisal,1951,12,31.7,15.7,0.0,68.0,0.3370370370370369,2.1,7.725531914893615,41950,22.701,90.3535
Barisal,1952,1,26.6,12.3,2.0,77.0,0.4537037037037035,1.0,7.831914893617018,41950,22.701,90.3535
Barisal,1952,2,30.6,15.2,8.0,75.0,0.6592592592592591,1.5,8.314893617021276,41950,22.701,90.3535
Barisal,1952,3,33.3,20.2,33.0,73.0,1.0851851851851853,2.4,8.131914893617022,41950,22.701,90.3535
Barisal,1952,4,34.0,23.9,85.0,78.0,1.7722222222222228,3.7,8.219148936170217,41950,22.701,90.3535
Barisal,1952,5,33.6,25.0,196.0,81.0,1.7037037037037035,4.7,7.0468085106382965,41950,22.701,90.3535
Barisal,1952,6,32.9,25.7,406.0,87.0,1.6314814814814815,6.2,4.072340425531915,41950,22.701,90.3535
Barisal,1952,7,31.2,25.6,414.0,88.0,1.5703703703703698,6.5,3.7382978723404254,41950,22.701,90.3535
Barisal,1952,8,31.4,25.7,349.0,88.0,1.3296296296296295,6.4,4.272340425531916,41950,22.701,90.3535
Barisal,1952,9,32.5,25.5,275.0,87.0,0.9370370370370368,5.6,4.823404255319147,41950,22.701,90.3535
Barisal,1952,10,32.0,23.8,171.0,85.0,0.4907407407407408,3.6,7.0,41950,22.701,90.3535
Barisal,1952,11,30.7,18.8,35.0,80.0,0.3129629629629628,2.0,7.851063829787234,41950,22.701,90.3535
Barisal,1952,12,27.8,13.7,4.0,63.0,0.3370370370370369,1.0,7.725531914893615,41950,22.701,90.3535
Barisal,1953,1,30.0,13.3,10.0,75.0,0.4537037037037035,1.6,7.831914893617018,41950,22.701,90.3535
Barisal,1953,2,32.8,15.5,3.0,75.0,0.6592592592592591,2.2,8.314893617021276,41950,22.701,90.3535
Barisal,1953,3,35.0,22.9,3.0,78.0,1.0851851851851853,3.1,8.131914893617022,41950,22.701,90.3535
Barisal,1953,4,36.7,25.1,46.0,76.0,1.7722222222222228,3.9,8.219148936170217,41950,22.701,90.3535
Barisal,1953,5,36.1,25.2,339.0,81.0,1.7037037037037035,5.3,7.0468085106382965,41950,22.701,90.3535
Barisal,1953,6,35.6,25.2,715.0,88.0,1.6314814814814815,7.3,4.072340425531915,41950,22.701,90.3535
Barisal,1953,7,35.0,25.5,526.0,91.0,1.5703703703703698,6.9,3.7382978723404254,41950,22.701,90.3535
Barisal,1953,8,36.7,25.7,167.0,87.0,1.3296296296296295,6.1,4.272340425531916,41950,22.701,90.3535
Barisal,1953,9,35.0,25.7,174.0,87.0,0.9370370370370368,5.6,4.823404255319147,41950,22.701,90.3535
Barisal,1953,10,33.1,24.3,45.0,80.0,0.4907407407407408,3.0,7.0,41950,22.701,90.3535
Barisal,1953,11,30.6,19.1,0.0,77.0,0.3129629629629628,1.4,7.851063829787234,41950,22.701,90.3535
Barisal,1953,12,29.4,16.1,0.0,76.0,0.3370370370370369,0.6,7.725531914893615,41950,22.701,90.3535
Barisal,1954,1,27.8,12.7,0.0,72.0,0.4537037037037035,0.5,7.831914893617018,41950,22.701,90.3535
Barisal,1954,2,33.4,17.9,3.0,73.0,0.6592592592592591,1.0,8.314893617021276,41950,22.701,90.3535
Barisal,1954,3,36.7,20.5,56.0,65.0,1.0851851851851853,1.4,8.131914893617022,41950,22.701,90.3535
Barisal,1954,4,37.1,25.6,14.0,72.0,1.7722222222222228,3.0,8.219148936170217,41950,22.701,90.3535
Barisal,1954,5,37.1,26.3,70.0,74.0,1.7037037037037035,3.8,7.0468085106382965,41950,22.701,90.3535
Barisal,1954,6,36.0,25.4,500.0,86.0,1.6314814814814815,6.4,4.072340425531915,41950,22.701,90.3535
Barisal,1954,7,33.0,25.8,260.0,85.0,1.5703703703703698,5.6,3.7382978723404254,41950,22.701,90.3535
Barisal,1954,8,33.8,26.4,360.0,87.0,1.3296296296296295,6.6,4.272340425531916,41950,22.701,90.3535
Barisal,1954,9,34.1,26.4,144.0,88.0,0.9370370370370368,5.6,4.823404255319147,41950,22.701,90.3535
Barisal,1954,10,33.2,23.7,169.0,86.0,0.4907407407407408,4.3,7.0,41950,22.701,90.3535
Barisal,1954,11,29.7,17.7,1.0,76.0,0.3129629629629628,1.0,7.851063829787234,41950,22.701,90.3535
Barisal,1954,12,29.3,15.2,6.0,78.0,0.3370370370370369,2.1,7.725531914893615,41950,22.701,90.3535
Barisal,1955,1,26.6,12.3,2.0,77.0,0.4537037037037035,1.0,7.831914893617018,41950,22.701,90.3535
Barisal,1955,2,30.5,15.2,8.0,75.0,0.6592592592592591,1.5,8.314893617021276,41950,22.701,90.3535
Barisal,1955,3,33.3,20.2,33.0,73.0,1.0851851851851853,2.4,8.131914893617022,41950,22.701,90.3535
Barisal,1955,4,34.0,23.9,85.0,78.0,1.7722222222222228,3.7,8.219148936170217,41950,22.701,90.3535
Barisal,1955,5,33.6,25.0,196.0,81.0,1.7037037037037035,4.7,7.0468085106382965,41950,22.701,90.3535
Barisal,1955,6,32.9,25.7,406.0,87.0,1.6314814814814815,6.2,4.072340425531915,41950,22.701,90.3535
Barisal,1955,7,31.2,25.6,414.0,88.0,1.5703703703703698,6.5,3.7382978723404254,41950,22.701,90.3535
Barisal,1955,8,31.4,25.7,349.0,88.0,1.3296296296296295,6.4,4.272340425531916,41950,22.701,90.3535
Barisal,1955,9,32.5,25.5,275.0,87.0,0.9370370370370368,5.6,4.823404255319147,41950,22.701,90.3535
Barisal,1955,10,32.0,23.8,171.0,85.0,0.4907407407407408,3.6,7.0,41950,22.701,90.3535
Barisal,1955,11,30.7,18.8,35.0,80.0,0.3129629629629628,2.0,7.851063829787234,41950,22.701,90.3535
Barisal,1955,12,27.8,13.7,4.0,63.0,0.3370370370370369,1.0,7.725531914893615,41950,22.701,90.3535
Barisal,1956,1,29.4,14.3,17.0,74.0,0.4537037037037035,0.4,7.831914893617018,41950,22.701,90.3535
Barisal,1956,2,32.8,14.9,0.0,69.0,0.6592592592592591,1.2,8.314893617021276,41950,22.701,90.3535
Barisal,1956,3,36.7,21.5,20.0,72.0,1.0851851851851853,1.8,8.131914893617022,41950,22.701,90.3535
Barisal,1956,4,37.2,24.3,92.0,77.0,1.7722222222222228,2.6,8.219148936170217,41950,22.701,90.3535
Barisal,1956,5,34.4,26.2,343.0,83.0,1.7037037037037035,5.6,7.0468085106382965,41950,22.701,90.3535
Barisal,1956,6,32.2,25.2,784.0,87.0,1.6314814814814815,6.3,4.072340425531915,41950,22.701,90.3535
Barisal,1956,7,33.8,25.8,319.0,86.0,1.5703703703703698,5.7,3.7382978723404254,41950,22.701,90.3535
Barisal,1956,8,33.3,26.0,497.0,87.0,1.3296296296296295,5.6,4.272340425531916,41950,22.701,90.3535
Barisal,1956,9,33.4,25.7,700.0,85.0,0.9370370370370368,4.8,4.823404255319147,41950,22.701,90.3535
Barisal,1956,10,33.8,24.5,184.0,84.0,0.4907407407407408,3.3,7.0,41950,22.701,90.3535
Barisal,1956,11,31.3,20.0,46.0,81.0,0.3129629629629628,1.3,7.851063829787234,41950,22.701,90.3535
Barisal,1956,12,29.5,14.9,0.0,79.0,0.3370370370370369,0.2,7.725531914893615,41950,22.701,90.3535
Barisal,1957,1,30.1,15.1,104.0,80.0,0.4537037037037035,1.0,7.831914893617018,41950,22.701,90.3535
Barisal,1957,2,30.6,16.3,13.0,80.0,0.6592592592592591,1.6,8.314893617021276,41950,22.701,90.3535
Barisal,1957,3,36.6,20.0,0.0,70.0,1.0851851851851853,1.8,8.131914893617022,41950,22.701,90.3535
Barisal,1957,4,37.3,24.9,1.0,85.0,1.7722222222222228,2.3,8.219148936170217,41950,22.701,90.3535
Barisal,1957,5,36.2,26.7,22.0,77.0,1.7037037037037035,4.2,7.0468085106382965,41950,22.701,90.3535
Barisal,1957,6,35.5,26.5,244.0,83.0,1.6314814814814815,5.3,4.072340425531915,41950,22.701,90.3535
